Year,Case,Court,Citation,,
1943,SEC v. Joiner,SCOTUS,320 U.S. 344,,
1946,SEC v. W.J. Howey Co.,SCOTUS,328 U.S. 203,,
1973,SEC v. Glenn Turner Enters.,9th Cir.,474 F.2d 476,,
1975,"United Hous. Found., Inc. v. Forman",SCOTUS,421 U.S. 837,,
1990,Reves v. Ernst & Young,SCOTUS,494 U.S. 56,,
1991,"Uselton v. Comm. Lovelace Motor Freight, Inc.",10th Cir., 940 F.2d 564,,
2004,SEC v. Edwards,SCOTUS,540 U.S. 38,,
2014,SEC v. Shavers,E.D. Texas,2014 WL 4652121,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
