Asset,Ticker,Total Supply, Total Market Capitalization ,
Solana,SOL,"511,616,946.00"," $21,721,850,558.00 ",
Orca,ORCA,"99,999,998.70"," $83,365,598.92 ",
Green Satoshi Token,GST,"68,730,903.87"," $110,658,502.00 ",
GenesysGo Shadow,SHDW,"199,999,997.36"," $146,709,722.00 ",
Samoyedcoin,SAMO,"7,236,693,918.49"," $47,227,829.00 ",
Nova Finance,NOVA,"9,999,999.82"," $8,789,762.00 ",
Serum,SRM,"9,992,475,560.59"," $10,092,400,316.20 ",
STEPN,GMT,"5,872,455,632.91"," $5,713,984,262.00 ",
Star Atlas DAO,POLIS,"359,999,998.74"," $217,475,968.00 ",
Raydium,RAY,"554,999,996.00"," $561,158,653.00 ",
Step Finance,STEP,"4,000,000.00"," $94,193,278.00 ",
Dust Protocol,DUST,"15,999,947.71"," $40,319,868.23 ",
MonkeyBucks,MBS,"999,999,985.09"," $78,341,998.83 ",
Learning Star,LSTAR,"400,369,233.00"," $8,007,384.66 ",
Solend,SLND,"99,999,999.96"," $114,999,999.95 ",
Larix,LARIX,"9,999,999,420.72"," $16,783,399.02 ",
Genopets,GENE,"99,999,999.38"," $1,265,999,992.25 ",
Solice,SLC,"399,999,999.86"," $44,013,999.98 ",
,,,,
Data gathered between 5/28/22 and 5/30/22,,,,
