Date,Case,Description,Outcome,Cause of Action,Civil or Criminal,Token,Project Name,Blockchain, Amount ,Securities Act of 1933,Securities Exchange Act of 1934,SEC Office
4/28/22,"SEC v. Chiang, et al.","The Securities and Exchange Commission charged Steven Chiang a/k/a Cyrus Kong, Eric Tippetts, James Hardy, and Maurice ""Butch"" Chelliah for their roles in raising over $10 million through two fraudulent and unregistered digital asset securities offerings.",Settlement,Fraud,Civil,NSG,NASGO,NASGO," $10,000,000.00 ",1,1,Fort Worth
4/28/22,"SEC v. Block Bits Capital, LLC, et al.","The Securities and Exchange Commission charged Block Bits Capital, LLC, Block Bits Capital GP I, LLC and their co-founders Japheth Dillman and David Mata, with conducting a fraudulent unregistered securities offering.",Settlement,Fraud,Civil and Criminal,N/A,Block Bits Fund,Bitcoin," $1,000,000.00 ",1,1,Northern California
4/7/22,"SEC v. MCC International Corp., et al.","The Securities and Exchange Commission brought fraud charges against MCC International Corp., which does business as Mining Capital Coin Corp., its founders Luiz Carlos Capuci, Jr. and Emerson Souza Pires, and two other entities controlled by Capuci, CPTLCoin Corp. and Bitchain Exchanges, in connection with the unregistered offerings and fraudulent sales of investment plans called mining packages to thousands of investors. ",Ongoing,Fraud,Civil,N/A,MCC International Corp.,Bitcoin," $11,300,000.00 ",1,1,Chicago
3/8/22,"SEC v. Barksdale, et al.",The Securities and Exchange Commission charged siblings John and JonAtina (Tina) Barksdale with defrauding thousands of retail investors out of more than $124 million through two unregistered fraudulent offerings of securities involving a digital token called “Ormeus Coin.,Ongoing,Fraud,Civil and Criminal,Ormeus,Ormeus Coin,Ethereum," $124,000,000.00 ",1,1,Southern New York
2/14/22,BlockFi Lending LLC,"The Securities and Exchange Commission charged BlockFi Lending LLC with failing to register the offers and sales of its retail crypto lending product, and also charged BlockFi with violating the registration provisions of the Investment Company Act of 1940.",Settlement,Fraud,Civil,N/A,BlockFi,Bitcoin," $100,000,000.00 ",1,0,New York
1/18/22,SEC v. Garcia,"The Securities and Exchange Commission charged Paul A. Garcia of Severance, Colorado, for allegedly defrauding investors by stealing approximately one quarter of investor funds raised for Gold Hawgs Development Corp., a failed cryptocurrency venture.",Ongoing,Fraud,Civil,N/A,Gold Hawgs,N/A," $400,000.00 ",1,1,Colorado
1/6/22,"SEC v. Crowd Machine, Inc., et al.","The Securities and Exchange Commission charged Australian citizen Craig Sproule and two companies he founded, Crowd Machine, Inc. and Metavine, Inc., for making materially false and misleading statements in connection with an unregistered offer and sale of digital asset securities.",Settlement,Fraud,Civil,CMCT,Crowd Machine,Ethereum," $40,700,000.00 ",1,1,Northern California
12/2/21,SEC v. Auzins,The Securities and Exchange Commission charged a Latvian citizen with defrauding hundreds of retail investors out of at least $7 million through two separate fraudulent digital asset securities offerings.,Ongoing,Fraud,Civil,DNO,Denaro,Ethereum," $7,000,000.00 ",1,1,New York
11/18/21,SEC v. Ginster,"The Securities and Exchange Commission charged Ryan Ginster of Corona, California with conducting two unregistered and fraudulent securities offerings that raised over $3.6 million in cryptocurrency from retail investors.",Ongoing,Fraud,Civil and Criminal,N/A,Social Profimatic and MyMicroProfits.com,Bitcoin," $3,600,000.00 ",1,1,Los Angeles
9/13/21,"GTV Media Group, Inc., et al.","The Securities and Exchange Commission charged New York City-based GTV Media Group Inc. and Saraca Media Group Inc., and Phoenix, Arizona-based Voice of Guo Media Inc., with conducting an illegal unregistered offering of GTV common stock. The SEC also announced charges against GTV and Saraca for conducting an illegal unregistered offering of a digital asset security referred to as either G-Coins or G-Dollars. The respondents have agreed to pay more than $539 million to settle the SEC's action.",Ongoing,Fraud,Civil,G-Coins,GTV Media Group Inc.,N/A," $539,000,000.00 ",1,0,New York 
